UID,Name,DoB,Nat,Division,Club,Preferred Foot,Position,Height,Weight,Age,Transfer Value,Wage,Style,Best Role
2000179927,Ionut Gabriel Opris,3/2/2006 (16 years old),ITA,Italian Serie A,Cremonese,Right Only,"DM, M (C)",173 cm,61 kg,16,€2.5K - €24K,"€1,100 p/m",Technical,Deep Lying Playmaker
2000179921,Eduard Gashi,21/2/2006 (16 years old),ITA,Italian Serie A,Cremonese,Right,M/AM (C),172 cm,60 kg,16,€30K - €90K,"€1,100 p/m",Creative,Winger
2000179920,Filippo Galbiati,31/8/2006 (15 years old),ITA,Italian Serie A,Cremonese,Right Only,GK,191 cm,73 kg,15,€18K - €190K,"€1,100 p/m",Distributor,Goalkeeper
2000179908,Robert Aanicai,17/6/2006 (16 years old),ITA,Italian Serie A,Cremonese,Right,D (RC),184 cm,69 kg,16,€0 - €90K,"€1,100 p/m",Physical,Central Defender
2000187826,Diego Malagnino,30/1/2006 (16 years old),ITA,Italian Serie A,Salento,Left Only,D (L),184 cm,69 kg,16,€0 - €95K,"€1,100 p/m",Physical,Full-Back
2000098802,Daniel Theiner,26/2/2004 (18 years old),ITA,Italian Serie A,Sassuolo,Right,GK,189 cm,74 kg,18,€10K - €110K,"€1,100 p/m",Shot Stopper,Sweeper Keeper
2000104792,Baltasar Dellernia,3/5/2005 (17 years old),ISL,Italian Serie A,Fiorentina,Right Only,M (C),177 cm,66 kg,17,€0 - €60K,"€1,100 p/m",Physical,Mezzala
2000145713,Paolo Budau,18/2/2005 (17 years old),ITA,Italian Serie A,Verona,Right,GK,195 cm,81 kg,17,€18K - €50K,"€1,100 p/m",Shot Stopper,Goalkeeper
2000145714,Pietro Spadiliero,16/11/2005 (16 years old),ITA,Italian Serie A,Verona,Right Only,D/WB (R),175 cm,64 kg,16,€0 - €65K,"€1,100 p/m",Technical,Full-Back
2000145716,Riccardo Marchesini,7/1/2005 (17 years old),ITA,Italian Serie A,Verona,Right Only,D (RC),184 cm,73 kg,17,€0 - €50K,"€1,100 p/m",Physical,Full-Back
2000104713,Gabriele Gigante,10/8/2004 (17 years old),ITA,Italian Serie B,Palermo,Either,ST (C),182 cm,68 kg,17,€10K - €30K,€950 p/m,Physical,Poacher
2000145720,Davide Squarzoni,10/5/2005 (17 years old),ITA,Italian Serie A,Verona,Left Only,M (LC),177 cm,63 kg,17,€0 - €40K,"€1,100 p/m",Physical,Winger
2000182165,Alex Bugaj,9/5/2006 (16 years old),POL,Italian Serie B,SPAL,Left,"D/WB (RL), M (L)",183 cm,75 kg,16,€18K - €55K,€950 p/m,Technical,Defensive Winger
2000146907,Lorenzo Perin,1/3/2005 (17 years old),ITA,Italian Serie A,Brianza,Right Only,M (C),167 cm,56 kg,17,€2.5K - €26K,"€1,100 p/m",Leader,Mezzala
2000125333,Nicolò Marchetti,28/4/2005 (17 years old),ITA,Italian Serie A,Verona,Right Only,GK,196 cm,81 kg,17,€16K - €50K,"€1,100 p/m",Assertive,Goalkeeper
2000128572,Matteo Gaggini,27/8/2005 (16 years old),ITA,Italian Serie A,Empoli,Right,GK,187 cm,70 kg,16,€0 - €110K,"€1,100 p/m",Distributor,Goalkeeper
2000124383,Vittorio Ferreri,8/2/2005 (17 years old),ITA,Italian Serie A,Torino,Right Only,M (C),166 cm,56 kg,17,€3K - €30K,"€1,100 p/m",Technical,Mezzala
2000145093,Gian Marco De Cicco,21/9/2005 (16 years old),ITA,Italian Serie A,Empoli,Right Only,D/WB (R),177 cm,64 kg,16,€30K - €90K,"€1,100 p/m",Physical,Full-Back
2000124384,Matteo Brezzo,2/10/2005 (16 years old),ITA,Italian Serie A,Torino,Right Only,GK,185 cm,67 kg,16,€0 - €65K,"€1,100 p/m",Assertive,Sweeper Keeper
2000124385,Giovanni La Rosa,16/2/2005 (17 years old),ITA,Italian Serie A,Torino,Left Only,D/WB/M (L),172 cm,64 kg,17,€22K - €65K,"€1,100 p/m",Technical,Winger
2000099623,Pietro Candelari,21/1/2005 (17 years old),ITA,Italian Serie A,Spezia,Right,M/AM (C),177 cm,64 kg,17,€2K - €18K,"€1,100 p/m",Creative,Central Midfielder
2000187825,Riccardo Montagna,30/1/2006 (16 years old),ITA,Italian Serie A,Salento,Left Only,D (L),176 cm,61 kg,16,€30K - €95K,"€1,100 p/m",Physical,Full-Back
2000024979,Mattia Malivindi,21/7/2004 (17 years old),ITA,Italian Serie A,Brianza,Right Only,GK,181 cm,68 kg,17,€2K - €20K,"€1,100 p/m",Assertive,Goalkeeper
2000024978,Ivan Cereghini,9/10/2004 (17 years old),ITA,Italian Serie A,Brianza,Right Only,"DM, M (C)",171 cm,62 kg,17,€0 - €70K,"€1,100 p/m",Intelligent,Mezzala
2000187824,Matteo La Marina,7/8/2006 (15 years old),ITA,Italian Serie A,Salento,Right Only,D (R),174 cm,57 kg,15,€14K - €140K,"€1,100 p/m",Physical,Full-Back
2000124395,Brian Pietroluongo,11/3/2005 (17 years old),ITA,Italian Serie B,Perugia,Right Only,GK,183 cm,69 kg,17,€1.5K - €16K,€950 p/m,Shot Stopper,Goalkeeper
2000187823,Giuseppe Francesco Bitonto,10/4/2006 (16 years old),ITA,Italian Serie A,Salento,Right,D (R),171 cm,58 kg,16,€3.5K - €35K,"€1,100 p/m",Physical,Full-Back
2000124396,Andrea Prete,18/6/2005 (17 years old),ITA,Italian Serie A,Torino,Right Only,D/WB/M (R),172 cm,65 kg,17,€0 - €60K,"€1,100 p/m",Leader,Winger
2000187821,Luca Russo,11/1/2006 (16 years old),ITA,Italian Serie A,Salento,Right,D (C),185 cm,69 kg,16,€30K - €95K,"€1,100 p/m",Physical,Central Defender
2000124398,Giuseppe La Vecchia,20/5/2005 (17 years old),ITA,Italian Serie A,Brianza,Left,AM (RC),187 cm,74 kg,17,€0 - €90K,"€1,100 p/m",Technical,Inverted Winger
2000187819,Simone Verdosci,1/1/2006 (16 years old),ITA,Italian Serie A,Salento,Right Only,GK,179 cm,64 kg,16,€3K - €30K,"€1,100 p/m",Distributor,Goalkeeper
2000189318,Gianmarco Summa,1/1/2006 (16 years old),ITA,Italian Serie B,Reggina,Right Only,GK,188 cm,70 kg,16,€0 - €100K,€950 p/m,Assertive,Goalkeeper
2000104809,William Alejandro Padilla Mendoza,24/3/2005 (17 years old),ECU,Italian Serie A,Fiorentina,Right Only,ST (C),183 cm,68 kg,17,€24K - €75K,"€1,100 p/m",Technical,Poacher
2000025524,Alessandro Boccia,30/6/2004 (17 years old),ITA,Italian Serie B,SPAL,Left,"AM (RL), ST (C)",174 cm,64 kg,17,€0 - €85K,€950 p/m,Technical,Winger
2000099174,Thomas Zanon,3/8/2005 (16 years old),ITA,Italian Serie A,Milan,Right Only,GK,184 cm,68 kg,16,€14K - €140K,"€1,100 p/m",Shot Stopper,Goalkeeper
2000101707,Valerio Minnocci,29/4/2004 (18 years old),ITA,Italian Serie A,Verona,Right Only,M/AM (RC),177 cm,72 kg,18,€3.5K - €35K,"€1,100 p/m",Intelligent,Winger
2000021834,Simone Mancini,3/7/2004 (17 years old),ITA,Italian Serie A,Lazio,Right,"DM, M (C)",171 cm,61 kg,17,€0 - €120K,"€1,100 p/m",Intelligent,Central Midfielder
2000125778,Generoso Di Stanio,25/2/2005 (17 years old),ITA,Italian Serie A,Salernitana,Right,GK,178 cm,65 kg,17,€0 - €85K,"€1,100 p/m",Distributor,Goalkeeper
2000125786,Alessio Nicoletti,9/2/2005 (17 years old),ITA,Italian Serie A,Salernitana,Right Only,"DM, M (C)",170 cm,58 kg,17,€0 - €60K,"€1,100 p/m",Technical,Central Midfielder
2000125794,Antonio Perulli,21/1/2005 (17 years old),ITA,Italian Serie A,Salernitana,Right Only,"AM (RC), ST (C)",177 cm,65 kg,17,€0 - €70K,"€1,100 p/m",Physical,Winger
2000216199,Ervin Bashi,24/7/2005 (16 years old),ITA,Italian Serie A,Milan,Right,D (C),188 cm,71 kg,16,€4.5K - €45K,"€1,100 p/m",Intelligent,Central Defender
2000127987,Sebastiano Pisasale,15/5/2005 (17 years old),ITA,Italian Serie B,SPAL,Right,"AM (C), ST (C)",184 cm,72 kg,17,€2K - €18K,€950 p/m,Technical,Advanced Forward
2000106598,Antonio Palumbo,19/7/2005 (16 years old),ITA,Italian Serie B,Reggina,Right Only,"AM (RL), ST (C)",168 cm,55 kg,16,€0 - €90K,€950 p/m,Physical,Winger
2000055979,Marco Rosati,4/11/2004 (17 years old),ITA,Italian Serie B,Frosinone,Right Only,D (R),170 cm,60 kg,17,€7K - €70K,€950 p/m,Intelligent,Full-Back
2000224919,Serge Mendes,8/10/2004 (17 years old),ITA,Italian Serie A,Cremonese,Right Only,"AM (RLC), ST (C)",176 cm,65 kg,17,€3K - €30K,"€1,100 p/m",Physical,Inverted Winger
2000225710,Orgito Ruci,18/3/2005 (17 years old),ALB,Italian Serie B,Genoa,Right Only,"DM, M (C)",181 cm,70 kg,17,€0 - €65K,€950 p/m,Leader,Ball Winning Midfielder
2000225820,Matias Ceschin,11/6/2004 (18 years old),ITA,Italian Serie A,Torino,Right Only,D (C),191 cm,78 kg,18,€0 - €45K,"€1,100 p/m",Physical,Central Defender
2000225837,Fatahou Compaore,22/1/2005 (17 years old),ITA,Italian Serie B,Brescia,Right Only,D (C),180 cm,68 kg,17,€14K - €40K,€950 p/m,Intelligent,Central Defender
2000225839,Alessio Pilo,21/7/2005 (16 years old),ITA,Italian Serie B,Cittadella,Right Only,D (C),178 cm,63 kg,16,€2.5K - €24K,€950 p/m,Intelligent,Central Defender
2000225986,Franciszek Szymański,6/1/2005 (17 years old),POL,Italian Serie B,Benevento,Right Only,M (C),188 cm,74 kg,17,€0 - €55K,€950 p/m,Physical,Central Midfielder
2000210894,Manuel Attici,29/12/2004 (17 years old),ITA,Italian Serie B,Reggina,Right Only,ST (C),178 cm,68 kg,17,€0 - €50K,€950 p/m,Intelligent,Poacher
2000150888,Daniel Mikołajewski,24/1/2006 (16 years old),POL,Italian Serie B,Parma,Right,ST (C),167 cm,58 kg,16,€12K - €120K,€950 p/m,Physical,Poacher
2000200297,Lorenzo Da Pozzo,23/9/2004 (17 years old),ITA,Italian Serie B,Venezia,Right Only,M/AM (R),182 cm,69 kg,17,€6K - €18K,€700 p/m,Technical,Winger
2000200295,Leo Kyvik,21/2/2004 (18 years old),NOR,Italian Serie B,Venezia,Right Only,D (C),190 cm,80 kg,18,€500 - €7K,€500 p/m,Leader,No-Nonsense Centre-Back
2000200293,Eryk Słowikowski,24/2/2005 (17 years old),POL,Italian Serie B,Venezia,Right Only,GK,189 cm,75 kg,17,€20K - €60K,€950 p/m,Shot Stopper,Goalkeeper
2000199405,Jonathan Silva Pertinhes,21/4/2004 (18 years old),BRA,Italian Serie A,Torino,Right Only,M (C),176 cm,66 kg,18,€28K - €85K,"€1,100 p/m",Physical,Central Midfielder
2000149386,Filip Jurczak,23/2/2004 (18 years old),POL,Italian Serie A,Lazio,Right,D (C),189 cm,81 kg,18,€14K - €130K,"€1,800 p/m",Physical,No-Nonsense Centre-Back
2000199403,Zannetos Savva,26/11/2005 (16 years old),CYP,Italian Serie A,Torino,Right Only,"AM (RLC), ST (C)",180 cm,63 kg,16,€3.5K - €35K,"€1,100 p/m",Technical,Winger
2000148687,Elie Losomba,18/1/2003 (19 years old),FRA,Italian Serie B,Genoa,Right Only,D/WB/M (R),177 cm,69 kg,19,€1.5K - €16K,"€1,400 p/m",Physical,Winger
2000147103,Orlando Casciaro,11/5/2005 (17 years old),ITA,Italian Serie B,Cosenza,Right Only,D (C),188 cm,75 kg,17,€2.5K - €24K,€950 p/m,Intelligent,Central Defender
2000198997,Issouf Diarra,8/8/2005 (16 years old),CIV,Italian Serie A,Fiorentina,Right Only,ST (C),180 cm,67 kg,16,€35K - €110K,"€1,100 p/m",Technical,Poacher
2000198996,Filippo Caroti,4/6/2005 (17 years old),ITA,Italian Serie A,Fiorentina,Right Only,GK,196 cm,80 kg,17,€0 - €120K,"€1,100 p/m",Assertive,Sweeper Keeper
2000198851,Marco Baldelli,17/6/2005 (17 years old),ITA,Italian Serie A,Inter,Right Only,M/AM (C),170 cm,60 kg,17,€5K - €50K,"€1,100 p/m",Creative,Mezzala
2000075653,Filippo Samuele Latella,13/7/2004 (17 years old),ITA,Italian Serie B,Reggina,Right Only,D/WB (R),182 cm,71 kg,17,€16K - €45K,€950 p/m,Physical,Full-Back
2000021085,Thomas Bio,27/6/2004 (17 years old),ITA,Italian Serie B,Parma,Right Only,M/AM (C),183 cm,71 kg,18,€30K - €95K,€950 p/m,Leader,Mezzala
2000141824,Davide Bosia,31/8/2005 (16 years old),ITA,Italian Serie B,Genoa,Right Only,D/WB (R),176 cm,62 kg,16,€0 - €85K,€950 p/m,Technical,Full-Back
2000021225,Ivan Altamura,13/1/2004 (18 years old),ITA,Italian Serie B,Benevento,Right,"AM (RL), ST (C)",174 cm,68 kg,18,€24K - €75K,€950 p/m,Leader,Winger
2000021387,Francesco Del Bello,23/3/2004 (18 years old),ITA,Italian Serie B,Parma,Right Only,D (C),188 cm,84 kg,18,€14K - €130K,€950 p/m,Physical,No-Nonsense Centre-Back
2000021390,Gian Marco Cavalca,2/10/2004 (17 years old),ITA,Italian Serie B,Parma,Right Only,M (C),174 cm,66 kg,17,€0 - €110K,€950 p/m,Technical,Central Midfielder
2000090303,Adi Fišić,22/12/2003 (18 years old),SWE,Italian Serie A,Atalanta,Right,ST (C),195 cm,69 kg,18,€12K - €120K,"€1,800 p/m",Intelligent,Target Forward
2000090367,Wiktor Matyjewicz,11/1/2004 (18 years old),POL,Italian Serie A,Verona,Right Only,D (C),185 cm,75 kg,18,€500 - €5K,€850 p/m,Physical,Central Defender
2000021491,Adrian Cannavaro,10/5/2004 (18 years old),ITA,Italian Serie A,Sassuolo,Right Only,D (C),188 cm,80 kg,18,€7K - €65K,"€1,100 p/m",Physical,Central Defender
2000021828,Antonio Campagna,4/10/2003 (18 years old),ITA,Italian Serie A,Lazio,Right Only,M (C),193 cm,81 kg,18,€0 - €65K,"€1,100 p/m",Technical,Deep Lying Playmaker
43425682,Francesco Perlingieri,14/5/2002 (20 years old),ITA,Italian Serie B,Benevento,Right,D (C),178 cm,73 kg,20,€0 - €55K,"€1,800 p/m",Intelligent,Central Defender
2000136178,Mattia Manni,20/4/2005 (17 years old),ITA,Italian Serie B,Ternana,Right Only,"DM, M (C)",169 cm,57 kg,17,€0 - €70K,€950 p/m,Technical,Mezzala
2000136175,Filippo Picchiantano,14/4/2005 (17 years old),ITA,Italian Serie B,Ternana,Right,"DM, M (C)",168 cm,58 kg,17,€1.5K - €16K,€950 p/m,Leader,Mezzala
2000136173,Alessandro Antonini,11/3/2005 (17 years old),ITA,Italian Serie B,Ternana,Right Only,GK,183 cm,69 kg,17,€16K - €50K,€950 p/m,Assertive,Sweeper Keeper
2000136172,Jacopo Bottausci,8/8/2005 (16 years old),ITA,Italian Serie B,Ternana,Left Only,AM (L),186 cm,68 kg,16,€0 - €45K,€950 p/m,Technical,Winger
2000136168,Matteo Iacono,16/5/2005 (17 years old),ITA,Italian Serie B,Ternana,Left,D (L),180 cm,68 kg,17,€0 - €35K,€950 p/m,Physical,Full-Back
2000136166,Filippo Cruciani,7/2/2005 (17 years old),ITA,Italian Serie B,Ternana,Left Only,AM (RL),180 cm,68 kg,17,€0 - €40K,€950 p/m,Technical,Winger
2000136165,Marco Bonugli,3/3/2005 (17 years old),ITA,Italian Serie B,Ternana,Right Only,D (C),186 cm,74 kg,17,€14K - €40K,€950 p/m,Physical,No-Nonsense Centre-Back
2000136164,Matteo Montecolle,6/7/2005 (16 years old),ITA,Italian Serie B,Ternana,Right Only,M (C),178 cm,65 kg,16,€0 - €50K,€950 p/m,Physical,Central Midfielder
43617769,Amadou Touré,5/2/2003 (19 years old),GUI,Italian Serie A,Sassuolo,Right Only,M/AM (C),159 cm,55 kg,19,€20K - €60K,"€1,900 p/m",Technical,Central Midfielder
2000195865,Imre Kartau,17/2/2006 (16 years old),EST,Italian Serie B,Venezia,Right,"DM, M (C)",175 cm,62 kg,16,€28K - €85K,€950 p/m,Technical,Mezzala
2000214779,Giacomo Barbaro,3/1/2006 (16 years old),ITA,Italian Serie A,Bologna,Right,D (R),178 cm,66 kg,16,€3K - €30K,"€1,100 p/m",Technical,Full-Back
2000214781,Diego Beruschi,4/1/2006 (16 years old),ITA,Italian Serie A,Bologna,Right Only,"DM, M (C)",176 cm,61 kg,16,€20K - €60K,"€1,100 p/m",Technical,Central Midfielder
2000023588,Michael Kayode,10/7/2004 (17 years old),ITA,Italian Serie A,Fiorentina,Right Only,D/WB/M (RL),179 cm,70 kg,17,€65K - €650K,"€1,100 p/m",Physical,Inverted Wing-Back
2000023642,Alex Caddeo,15/12/2004 (17 years old),ITA,Italian Serie B,Cagliari,Right Only,M (RC),159 cm,55 kg,17,€0 - €80K,€950 p/m,Technical,Winger
2000207506,Mariano Russo,20/5/2005 (17 years old),ITA,Italian Serie A,Parthenope,Right Only,GK,181 cm,69 kg,17,€0 - €65K,€650 p/m,Shot Stopper,Sweeper Keeper
2000023645,Antonio Corsini,2/1/2004 (18 years old),ITA,Italian Serie B,Perugia,Right Only,"DM, M (C)",171 cm,65 kg,18,€20K - €60K,€950 p/m,Leader,Mezzala
2000023655,Alessandro Murru,12/1/2004 (18 years old),ITA,Italian Serie B,Cagliari,Right,D/WB (R),181 cm,73 kg,18,€2K - €20K,€950 p/m,Physical,Full-Back
2000098264,Francesco Corradini,2/2/2005 (17 years old),ITA,Italian Serie A,Sassuolo,Right Only,D (C),188 cm,76 kg,17,€40K - €425K,"€1,100 p/m",Technical,Central Defender
2000131236,Cristian Ronchi,4/1/2005 (17 years old),ITA,Italian Serie B,Perugia,Right Only,ST (C),175 cm,62 kg,17,€0 - €55K,€950 p/m,Physical,Poacher
2000130716,Vincenzo Avolio,21/4/2005 (17 years old),ITA,Italian Serie B,Benevento,Right,D (C),189 cm,76 kg,17,€0 - €60K,€950 p/m,Physical,Central Defender
2000023964,Michele Carboni,3/8/2004 (17 years old),ITA,Italian Serie B,Cagliari,Right Only,"DM, M (C)",171 cm,62 kg,17,€0 - €75K,€950 p/m,Physical,Mezzala
43617437,Cristian Macrì,1/7/2003 (18 years old),ITA,Italian Serie A,Salento,Right Only,M/AM (C),171 cm,67 kg,18,€30K - €90K,"€1,100 p/m",Technical,Central Midfielder
2000215978,Francesco Pitton,8/3/2006 (16 years old),ITA,Italian Serie B,Pisa,Right,"DM, M (C)",172 cm,66 kg,16,€0 - €120K,"€1,100 p/m",Physical,Central Midfielder
2000128479,Mario Perlingeri,14/11/2005 (16 years old),ITA,Italian Serie B,Benevento,Left,ST (C),178 cm,78 kg,16,€2.5K - €28K,€950 p/m,Intelligent,Poacher
2000127960,Samuele Mari,19/2/2005 (17 years old),ITA,Italian Serie B,Bari,Right Only,M (C),180 cm,68 kg,17,€0 - €60K,€950 p/m,Intelligent,Central Midfielder
2000127958,Giovanni De Marzo,27/7/2005 (16 years old),ITA,Italian Serie B,Bari,Right Only,ST (C),178 cm,64 kg,16,€0 - €50K,€950 p/m,Physical,Poacher
2000127893,Gabriele Calvani,12/1/2004 (18 years old),ITA,Italian Serie B,Genoa,Right,D (C),180 cm,71 kg,18,€26K - €75K,€950 p/m,Technical,Central Defender
2000024425,Alessandro Matteoli,24/3/2004 (18 years old),ITA,Italian Serie B,Pisa,Right,"AM (LC), ST (C)",177 cm,69 kg,18,€20K - €60K,€950 p/m,Leader,Inverted Winger
2000126871,Jeppe Corfitzen,29/12/2004 (17 years old),DEN,Italian Serie A,Salento,Left Only,"M (R), AM (RL)",179 cm,70 kg,17,€30K - €300K,"€1,800 p/m",Technical,Inverted Winger
2000126400,Jahid Taouri,12/4/2005 (17 years old),FRA,Italian Serie A,Torino,Right Only,D (C),180 cm,69 kg,17,€16K - €170K,"€1,100 p/m",Physical,Central Defender
2000205863,Antonio Di Lorenzo,1/10/2005 (16 years old),ITA,Italian Serie A,Parthenope,Right,"DM, M (C)",183 cm,66 kg,16,€2K - €20K,"€1,100 p/m",Technical,Central Midfielder
2000205857,Matteo Crivello,8/1/2005 (17 years old),ITA,Italian Serie A,Brianza,Right Only,M (C),168 cm,61 kg,17,€16K - €50K,"€1,100 p/m",Creative,Mezzala
2000205854,Davide Zanoni,25/3/2005 (17 years old),ITA,Italian Serie A,Verona,Right Only,M (RC),177 cm,66 kg,17,€0 - €40K,"€1,100 p/m",Technical,Winger
2000024680,Francesco Conti,23/10/2004 (17 years old),ITA,Italian Serie A,Sampdoria,Right Only,M (RC),170 cm,59 kg,17,€12K - €110K,"€1,100 p/m",Technical,Winger
2000024694,Diego Porcu,10/7/2004 (17 years old),ITA,Italian Serie A,Sampdoria,Left,D/WB (L),175 cm,65 kg,17,€0 - €100K,"€1,100 p/m",Leader,Full-Back
2000125302,Luca Borghesan,5/1/2004 (18 years old),ITA,Italian Serie A,Cremonese,Right Only,M (RC),182 cm,75 kg,18,€12K - €110K,"€1,800 p/m",Leader,Defensive Winger
2000206677,Lamine Gningue,14/8/2004 (17 years old),SEN,Italian Serie A,Parthenope,Left,"AM (RL), ST (C)",195 cm,78 kg,17,€55K - €170K,"€1,100 p/m",Technical,Winger
2000104743,Daniele Vitale,9/5/2005 (17 years old),ITA,Italian Serie B,Palermo,Right Only,D (C),180 cm,71 kg,17,€1K - €9K,€950 p/m,Physical,Central Defender
2000205841,Tomas Valdecantos,3/11/2005 (16 years old),ARG,Italian Serie A,Inter,Right,ST (C),185 cm,68 kg,16,€40K - €120K,"€1,100 p/m",Physical,Poacher
2000098860,Davide Bulgarelli,15/4/2005 (17 years old),ITA,Italian Serie B,Perugia,Left Only,GK,189 cm,77 kg,17,€26K - €250K,€950 p/m,Assertive,Goalkeeper
2000098861,Michele Di Rienzo,21/7/2005 (16 years old),ITA,Italian Serie B,Perugia,Right Only,D (LC),183 cm,72 kg,16,€20K - €60K,€950 p/m,Physical,Central Defender
2000098885,Paolo Borgia,10/2/2005 (17 years old),ITA,Italian Serie A,Sampdoria,Right Only,M/AM (C),174 cm,65 kg,17,€20K - €60K,"€1,100 p/m",Creative,Deep Lying Playmaker
2000170194,Efdon Mahari,12/4/2006 (16 years old),SWE,Italian Serie A,Torino,Right,"DM, M (C)",167 cm,55 kg,16,€0 - €80K,"€1,100 p/m",Technical,Mezzala
2000098917,Christian Ronchi,6/1/2005 (17 years old),ITA,Italian Serie B,Perugia,Either,ST (C),174 cm,67 kg,17,€14K - €45K,€950 p/m,Physical,Poacher
2000219301,Yassin Sabili,31/5/2005 (17 years old),MAR,Italian Serie B,Como,Right Only,"AM (LC), ST (C)",177 cm,66 kg,17,€24K - €70K,€950 p/m,Creative,Inverted Winger
2000123944,Alberto Chiesurin,23/1/2005 (17 years old),ITA,Italian Serie A,Milan,Right,M (RC),193 cm,78 kg,17,€14K - €130K,"€1,100 p/m",Physical,Winger
2000187853,Mouhamed Diallo,5/9/2005 (16 years old),FRA,Italian Serie B,Perugia,Left Only,D (C),188 cm,72 kg,16,€26K - €80K,€950 p/m,Physical,No-Nonsense Centre-Back
93154072,Gabriel Sandberg,10/3/2003 (19 years old),SWE,Italian Serie B,Venezia,Right,M (C),187 cm,81 kg,19,€0 - €95K,"€2,200 p/m",Physical,Box To Box Midfielder
2000025328,Francesco Siena,1/1/2004 (18 years old),ITA,Italian Serie A,Salernitana,Left,"D (LC), WB (L)",184 cm,73 kg,18,€0 - €45K,"€1,100 p/m",Technical,Full-Back
2000099166,Davide Gennaio Granato,24/10/2004 (17 years old),ITA,Italian Serie B,Como,Right Only,D (C),193 cm,79 kg,17,€0 - €75K,€950 p/m,Intelligent,Central Defender
43500517,Daniele Montevago,18/3/2003 (19 years old),ITA,Italian Serie A,Sampdoria,Right Only,ST (C),184 cm,93 kg,19,€22K - €65K,"€2,000 p/m",Physical,Target Forward
2000219304,Zorom Sirima Aziz,14/12/2005 (16 years old),CIV,Italian Serie B,Cosenza,Either,ST (C),187 cm,71 kg,16,€0 - €65K,€950 p/m,Physical,Poacher
2000099171,Nicholas Pluvio,9/3/2004 (18 years old),ITA,Italian Serie A,Milan,Right,M/AM (C),184 cm,73 kg,18,€4.5K - €45K,"€1,100 p/m",Technical,Mezzala
2000099172,Ludovico Rodolfo Masera,28/4/2005 (17 years old),ITA,Italian Serie B,Como,Right Only,"DM, M (C)",183 cm,70 kg,17,€0 - €45K,€950 p/m,Technical,Central Midfielder
2000164653,Simone Cortese,17/8/2005 (16 years old),ITA,Italian Serie B,Brescia,Right Only,GK,191 cm,77 kg,16,€16K - €50K,€950 p/m,Distributor,Goalkeeper
43373702,Lorenzo Bertini,17/8/2001 (20 years old),ITA,Italian Serie A,Verona,Right Only,AM (L),192 cm,78 kg,20,€16K - €150K,"€2,700 p/m",Creative,Inverted Winger
2000099513,Andrea Bellini,9/1/2005 (17 years old),ITA,Italian Serie A,Empoli,Left Only,D (RL),160 cm,55 kg,17,€18K - €55K,"€1,100 p/m",Intelligent,Full-Back
2000099617,Andrea Salvadori,13/8/2005 (16 years old),ITA,Italian Serie A,Empoli,Right Only,M/AM (C),176 cm,61 kg,16,€20K - €60K,€650 p/m,Creative,Central Midfielder
2000099631,Giovanni Giunti,1/7/2005 (16 years old),ITA,Italian Serie B,Perugia,Right,"DM, M (C)",173 cm,60 kg,16,€12K - €120K,€950 p/m,Technical,Central Midfielder
2000105264,Francesco Vallarelli,16/5/2005 (17 years old),ITA,Italian Serie A,Empoli,Right Only,AM (C),183 cm,68 kg,17,€0 - €100K,"€1,100 p/m",Technical,Winger
2000158609,Franco Davide Carretti,1/11/2005 (16 years old),ITA,Italian Serie A,Bologna,Right Only,D (R),179 cm,65 kg,16,€22K - €65K,"€1,100 p/m",Technical,Wing-Back
43424517,Vittorio Agostinelli,21/2/2002 (20 years old),ITA,Italian Serie B,Reggina,Right Only,M/AM (C),183 cm,68 kg,20,€70K - €210K,"€3,000 p/m",Physical,Advanced Playmaker
2000120289,Filippo Fraraccio,19/4/2005 (17 years old),ITA,Italian Serie B,SPAL,Either,M (C),172 cm,63 kg,17,€100K - €300K,"€1,300 p/m",Creative,Central Midfielder
2000101040,Andrea Crispino,21/1/2005 (17 years old),ITA,Italian Serie B,Modena,Right Only,"AM (RLC), ST (C)",179 cm,78 kg,17,€0 - €65K,€950 p/m,Technical,Inverted Winger
43500067,Federico Casolari,17/4/2003 (19 years old),ITA,Italian Serie A,Sassuolo,Right Only,"DM, M (C)",178 cm,74 kg,19,€3K - €30K,"€2,100 p/m",Leader,Central Midfielder
2000048425,Fadiyl Bandaogo,29/4/2004 (18 years old),ITA,Italian Serie B,Parma,Right Only,M (C),175 cm,66 kg,18,€20K - €60K,€950 p/m,Technical,Mezzala
2000185236,Filippo Faggiano,3/2/2006 (16 years old),ITA,Italian Serie B,Brescia,Left Only,D/WB/M (L),181 cm,67 kg,16,€14K - €150K,€950 p/m,Technical,Winger
2000184648,Mattia Bonetti,9/9/2005 (16 years old),ITA,Italian Serie A,Bologna,Right Only,D (C),179 cm,66 kg,16,€0 - €70K,"€1,100 p/m",Physical,Central Defender
2000106637,Angelo De Crescenzo,1/7/2006 (15 years old),ITA,Italian Serie A,Brianza,Right,M/AM (C),155 cm,55 kg,15,€170K - €500K,"€1,100 p/m",Creative,Attacking Midfielder
2000102158,Michael Armani,23/9/2004 (17 years old),ITA,Italian Serie A,Udinese,Right,WB/M (RL),156 cm,55 kg,17,€0 - €75K,"€1,100 p/m",Technical,Winger
2000046035,Tommaso Goffi,6/1/2004 (18 years old),ITA,Italian Serie A,Brianza,Right Only,ST (C),174 cm,65 kg,18,€2K - €20K,"€1,100 p/m",Technical,Poacher
