"RecordIDS","AverageConsistency","Birthdate-Consistency","Birthdate-Values","Club-Consistency","Club-Values","Jersey_number-Consistency","Jersey_number-Values","Name-Consistency","Name-Values","Nationality-Consistency","Nationality-Values","Height-Consistency","Height-Values","Weight-Consistency","Weight-Values"
"eafc_6153+tm_10136","0.7142857142857143","1.0","{1999-07-29T00:00|1999-07-29T00:00}","1.0","{Preston North End|Preston North End}","0.0","{10|10}","0.0","{M. Frøkjær-Jensen|Mads Frøkjaer-Jensen}","1.0","{Denmark|Denmark}","1.0","{186.0}","1.0","{79.0}"
"eafc_6769+fm_3858+tm_10397","0.3333333333333333","1.0","{2001-03-13T00:00|2001-03-13T00:00|2001-03-13T00:00}","0.6666666666666666","{Hertha BSC|Düsseldorf|Hertha BSC}","0.0","{6|6}","0.0","{M. Karbownik|Michał Karbownik|Michal Karbownik}","0.6666666666666666","{Poland|POL|Poland}","0.0","{175.0|172.0}","0.0","{64.0|66.0}"
"eafc_7628+fm_16276+tm_8134","0.619047619047619","1.0","{2000-08-14T00:00|2000-08-14T00:00|2000-08-14T00:00}","0.0","{Troyes|RC Lens|ESTAC Troyes}","0.0","{8|8}","0.6666666666666666","{I. Boura|Ismaël Boura|Ismaël Boura}","0.6666666666666666","{France|FRA|France}","1.0","{173.0|173.0}","1.0","{68.0|68.0}"
"eafc_9963+fm_3935+tm_3868","0.619047619047619","1.0","{2001-12-31T00:00|2001-12-31T00:00|2001-12-31T00:00}","1.0","{FC Volendam|FC Volendam|FC Volendam}","0.0","{31|31}","0.6666666666666666","{X. Mbuyamba|Xavier Mbuyamba|Xavier Mbuyamba}","0.6666666666666666","{Netherlands|NED|Netherlands}","0.0","{195.0|193.0}","1.0","{85.0|85.0}"
"eafc_7387+fm_3640+tm_3909","0.47619047619047616","1.0","{2001-01-03T00:00|2001-01-03T00:00|2001-01-03T00:00}","1.0","{RKC Waalwijk|RKC Waalwijk|RKC Waalwijk}","0.0","{6|6}","0.6666666666666666","{Y. Oukili|Yassin Oukili|Yassin Oukili}","0.6666666666666666","{Morocco|NED|Morocco}","0.0","{187.0|175.0}","0.0","{88.0|73.0}"
"eafc_2821+fm_6101+tm_5568","0.47619047619047616","1.0","{1994-08-13T00:00|1994-08-13T00:00|1994-08-13T00:00}","0.0","{Olympique de Marseille|Inter|Inter Milan}","0.0","{20|20}","0.6666666666666666","{J. Correa|Joaquín Correa|Joaquín Correa}","0.6666666666666666","{Argentina|ARG|Argentina}","1.0","{188.0|188.0}","0.0","{78.0|75.0}"
"eafc_5623+fm_14572+tm_5614","0.47619047619047616","1.0","{2000-08-31T00:00|2000-08-31T00:00|2000-08-31T00:00}","0.0","{Lille|LOSC|LOSC Lille}","0.0","{8|8}","0.6666666666666666","{A. Gomes|Angel Gomes|Angel Gomes}","0.6666666666666666","{England|ENG|England}","1.0","{168.0|168.0}","0.0","{56.0|58.0}"
"eafc_8250+fm_1699+tm_1269","0.7142857142857143","1.0","{2002-04-25T00:00|2002-04-25T00:00|2002-04-25T00:00}","0.6666666666666666","{Portland Timbers|Portland|Portland Timbers}","0.0","{26|26}","0.6666666666666666","{H. Sulte|Hunter Sulte|Hunter Sulte}","0.6666666666666666","{United States|USA|United States}","1.0","{201.0|201.0}","1.0","{89.0|89.0}"
"eafc_2364+fm_2392+tm_5700","0.3333333333333333","1.0","{1991-11-19T00:00|1991-11-19T00:00|1991-11-19T00:00}","0.0","{Nantes|Schalke 04|FC Nantes}","0.0","{25|25}","0.6666666666666666","{F. Mollet|Florent Mollet|Florent Mollet}","0.6666666666666666","{France|FRA|France}","0.0","{174.0|170.0}","0.0","{68.0|67.0}"
"eafc_10654+tm_9048","0.5714285714285714","1.0","{2000-01-07T00:00|2000-01-07T00:00}","0.0","{Ternana|Cagliari Calcio}","0.0","{33|33}","0.0","{C. Travaglini|Christian Travaglini}","1.0","{Italy|Italy}","1.0","{182.0}","1.0","{80.0}"
"eafc_3374+fm_2243+tm_10504","0.5714285714285714","1.0","{1994-09-12T00:00|1994-09-12T00:00|1994-09-12T00:00}","0.6666666666666666","{SpVgg Greuther Fürth|Fürth|SpVgg Greuther Fürth}","0.0","{23|23}","0.6666666666666666","{G. Jung|Gideon Jung|Gideon Jung}","0.6666666666666666","{Germany|GER|Germany}","1.0","{189.0|189.0}","0.0","{76.0|83.0}"
"eafc_3371+fm_14402+tm_6852","0.7142857142857143","1.0","{1994-04-24T00:00|1994-04-24T00:00|1994-04-24T00:00}","0.6666666666666666","{Mallorca|Mallorca|RCD Mallorca}","0.0","{7|7}","0.6666666666666666","{V. Muriqi|Vedat Muriqi|Vedat Muriqi}","0.6666666666666666","{Kosovo|KOS|Kosovo}","1.0","{194.0|194.0}","1.0","{92.0|92.0}"
"eafc_3165+fm_12217+tm_10351","0.3333333333333333","1.0","{1996-11-24T00:00|1996-11-24T00:00|1996-11-24T00:00}","0.0","{Rotherham United|Luton|Luton Town}","0.0","{14|14}","0.6666666666666666","{F. Onyedinma|Fred Onyedinma|Fred Onyedinma}","0.6666666666666666","{Nigeria|ENG|Nigeria}","0.0","{185.0|183.0}","0.0","{80.0|75.0}"
"eafc_4917+fm_9380+tm_4372","0.619047619047619","1.0","{1998-10-14T00:00|1998-10-14T00:00|1998-10-14T00:00}","1.0","{Galatasaray|Galatasaray|Galatasaray}","0.0","{25|25}","0.6666666666666666","{V. Nelsson|Victor Nelsson|Victor Nelsson}","0.6666666666666666","{Denmark|DEN|Denmark}","1.0","{185.0|185.0}","0.0","{78.0|83.0}"
"eafc_8238+tm_2226","0.5714285714285714","1.0","{1999-01-09T00:00|1999-01-09T00:00}","0.0","{Seattle Sounders|Seattle Sounders FC}","0.0","{35|35}","0.0","{P. Rothrock|Paul Rothrock}","1.0","{United States|United States}","1.0","{173.0}","1.0","{70.0}"
"eafc_6296+fm_16013","0.5714285714285714","1.0","{1994-11-05T00:00|1994-11-05T00:00}","0.0","{FC Andorra|F.C. Andorra}","1.0","{19}","0.0","{C. Albanis|Christos Albanis}","0.0","{Greece|GRE}","1.0","{184.0|184.0}","1.0","{80.0|80.0}"
"eafc_10961+tm_5400","0.7142857142857143","1.0","{1999-11-14T00:00|1999-11-14T00:00}","0.0","{Casa Pia|Casa Pia AC}","0.0","{80|80}","1.0","{Pablo Roberto|Pablo Roberto}","1.0","{Brazil|Brazil}","1.0","{183.0}","1.0","{75.0}"
"eafc_1212+fm_11770+tm_7508","0.7142857142857143","1.0","{1988-07-20T00:00|1988-07-20T00:00|1988-07-20T00:00}","0.6666666666666666","{Sheffield United|Sheff Utd|Sheffield United}","0.0","{6|6}","0.6666666666666666","{C. Basham|Chris Basham|Chris Basham}","0.6666666666666666","{England|ENG|England}","1.0","{190.0|190.0}","1.0","{80.0|80.0}"
"eafc_6621+fm_2220+tm_7616","0.619047619047619","1.0","{2001-01-04T00:00|2001-01-04T00:00|2001-01-04T00:00}","0.6666666666666666","{Bayer 04 Leverkusen|Bayer 04|Bayer 04 Leverkusen}","0.0","{6|6}","0.6666666666666666","{O. Kossounou|Odilon Kossounou|Odilon Kossounou}","0.0","{Côte d'Ivoire|CIV|Cote d'Ivoire}","1.0","{191.0|191.0}","1.0","{81.0|81.0}"
"eafc_6179+fm_15096+tm_6933","0.7619047619047619","1.0","{1996-05-29T00:00|1996-05-29T00:00|1996-05-29T00:00}","0.6666666666666666","{Granada|Granada|Granada CF}","0.0","{13|13}","1.0","{André Ferreira|André Ferreira|André Ferreira}","0.6666666666666666","{Portugal|POR|Portugal}","1.0","{193.0|193.0}","1.0","{79.0|79.0}"
"eafc_6591+fm_5189+tm_5922","0.47619047619047616","1.0","{2001-04-17T00:00|2001-04-17T00:00|2001-04-17T00:00}","0.0","{Metz|Seraing FC|FC Metz}","0.0","{1|1}","0.6666666666666666","{G. Dietsch|Guillaume Dietsch|Guillaume Dietsch}","0.6666666666666666","{France|FRA|France}","0.0","{184.0|185.0}","1.0","{73.0|73.0}"
"eafc_5836+tm_6619","0.5714285714285714","1.0","{1999-02-16T00:00|1999-02-16T00:00}","0.0","{Sevilla|Sevilla FC}","0.0","{2|2}","0.0","{F. Gattoni|Federico Gattoni}","1.0","{Argentina|Argentina}","1.0","{183.0}","1.0","{79.0}"
"eafc_3404+fm_2295+tm_4225","0.47619047619047616","1.0","{1995-03-10T00:00|1995-03-10T00:00|1995-03-10T00:00}","0.0","{Kortrijk|Union SG|KV Kortrijk}","0.0","{95|95}","0.6666666666666666","{L. Pirard|Lucas Pirard|Lucas Pirard}","0.6666666666666666","{Belgium|BEL|Belgium}","1.0","{191.0|191.0}","0.0","{96.0|88.0}"
"eafc_6426+fm_15941+tm_9541","0.5238095238095238","1.0","{1994-12-19T00:00|1994-12-19T00:00|1994-12-19T00:00}","0.0","{Burgos|Ponferrada|Burgos CF}","0.0","{19|19}","1.0","{Edu Espiau|Edu Espiau|Edu Espiau}","0.6666666666666666","{Spain|ESP|Spain}","1.0","{185.0|185.0}","0.0","{84.0|78.0}"
"eafc_4566+fm_2180+tm_3613","0.619047619047619","1.0","{1998-05-02T00:00|1998-05-02T00:00|1998-05-02T00:00}","1.0","{SC Heerenveen|sc Heerenveen|SC Heerenveen}","0.0","{7|7}","0.6666666666666666","{M. Köhlert|Mats Köhlert|Mats Köhlert}","0.6666666666666666","{Germany|GER|Germany}","0.0","{162.0|168.0}","1.0","{62.0|62.0}"
"eafc_5876+fm_2824+tm_1701","0.619047619047619","1.0","{1999-03-03T00:00|1999-03-03T00:00|1999-03-03T00:00}","0.0","{Sandhausen|St. Pauli|SV Sandhausen}","0.0","{17|17}","0.6666666666666666","{D. Otto|David Otto|David Otto}","0.6666666666666666","{Germany|GER|Germany}","1.0","{185.0|185.0}","1.0","{82.0|82.0}"
"eafc_7196+fm_6769+tm_8792","0.47619047619047616","1.0","{1999-06-04T00:00|1999-06-04T00:00|1999-06-04T00:00}","0.0","{Como|Palermo|Como 1907}","0.0","{3|3}","0.6666666666666666","{M. Sala|Marco Sala|Marco Sala}","0.6666666666666666","{Italy|ITA|Italy}","1.0","{182.0|182.0}","0.0","{72.0|68.0}"
"eafc_6560+tm_9624","0.8571428571428571","1.0","{2001-06-30T00:00|2001-06-30T00:00}","1.0","{Mirandés}","0.0","{27|27}","1.0","{Pablo Ramón|Pablo Ramón}","1.0","{Spain|Spain}","1.0","{186.0}","1.0","{76.0}"
"eafc_1653+fm_2325+tm_7999","0.7142857142857143","1.0","{1989-10-24T00:00|1989-10-24T00:00|1989-10-24T00:00}","0.6666666666666666","{VfL Bochum 1848|VfL Bochum|VfL Bochum}","0.0","{2|2}","0.6666666666666666","{C. Gamboa|Cristian Gamboa|Cristian Gamboa}","0.6666666666666666","{Costa Rica|CRC|Costa Rica}","1.0","{175.0|175.0}","1.0","{70.0|70.0}"
"eafc_1718+fm_14374+tm_6552","0.47619047619047616","1.0","{1991-09-24T00:00|1991-09-24T00:00|1991-09-24T00:00}","0.6666666666666666","{FC Barcelona|Girona|FC Barcelona}","0.0","{18|18}","1.0","{Oriol Romeu|Oriol Romeu|Oriol Romeu}","0.6666666666666666","{Spain|ESP|Spain}","0.0","{183.0|182.0}","0.0","{83.0|79.0}"
"eafc_1826+fm_6508+tm_9093","0.619047619047619","1.0","{1991-05-06T00:00|1991-05-06T00:00|1991-05-06T00:00}","0.0","{FeralpiSalò|SPAL}","0.0","{91|91}","0.6666666666666666","{A. La Mantia|Andrea La Mantia|Andrea La Mantia}","0.6666666666666666","{Italy|ITA|Italy}","1.0","{190.0|190.0}","1.0","{81.0|81.0}"
"eafc_8405+fm_16314+tm_9336","0.4285714285714285","1.0","{2001-09-09T00:00|2001-09-09T00:00|2001-09-09T00:00}","0.6666666666666666","{Sporting Gijón|S. Gijón|Sporting Gijón}","0.0","{12|12}","0.6666666666666666","{J. Varane|Jonathan Varane|Jonathan Varane}","0.6666666666666666","{France|FRA|France}","0.0","{185.0|175.0}","0.0","{75.0|64.0}"
"eafc_9829+tm_10492","0.42857142857142855","1.0","{2003-05-20T00:00|2003-11-03T00:00}","0.0","{Atlético Madrid|Eintracht Frankfurt}","0.0","{31|24}","0.0","{Antonio Gomis|Antonio Foti}","0.0","{Spain|Cyprus}","1.0","{188.0}","1.0","{80.0}"
"eafc_1920+fm_6808","0.5714285714285714","1.0","{1992-02-15T00:00|1992-02-15T00:00}","1.0","{Pisa|Pisa}","1.0","{30}","0.0","{A. De Vitis|Alessandro De Vitis}","0.0","{Italy|ITA}","1.0","{184.0|184.0}","0.0","{77.0|79.0}"
"eafc_1984+fm_15375+tm_5720","0.5714285714285714","1.0","{1992-03-24T00:00|1992-03-24T00:00|1992-03-24T00:00}","0.6666666666666666","{Strasbourg|Strasbourg|RC Strasbourg Alsace}","0.0","{3|3}","0.6666666666666666","{T. Delaine|Thomas Delaine|Thomas Delaine}","0.6666666666666666","{France|FRA|France}","1.0","{180.0|180.0}","0.0","{71.0|72.0}"
"eafc_5302+fm_16091+tm_5747","0.4285714285714285","1.0","{1997-08-29T00:00|1997-08-29T00:00|1997-08-29T00:00}","0.6666666666666666","{Lorient|FC Lorient|FC Lorient}","0.0","{24|24}","0.6666666666666666","{G. Kalulu|Gédéon Kalulu|Gédéon Kalulu}","0.6666666666666666","{Congo DR|COD|DR Congo}","0.0","{176.0|179.0}","0.0","{74.0|78.0}"
"eafc_1158+fm_6096","0.5714285714285714","1.0","{1990-11-11T00:00|1990-11-11T00:00}","0.0","{Al Ettifaq|Capitoline}","1.0","{19}","0.0","{G. Wijnaldum|Georginio Wijnaldum}","0.0","{Netherlands|NED}","1.0","{175.0|175.0}","1.0","{74.0|74.0}"
"eafc_5315+fm_3714+tm_10472","0.5714285714285714","1.0","{1996-07-07T00:00|1996-07-07T00:00|1996-07-07T00:00}","0.6666666666666666","{Hannover 96|Hannover|Hannover 96}","0.0","{30|30}","0.6666666666666666","{L. Weinkauf|Leo Weinkauf|Leo Weinkauf}","0.6666666666666666","{Germany|GER|Germany}","1.0","{198.0|198.0}","0.0","{94.0|97.0}"
"eafc_3078+fm_9654+tm_4725","0.7619047619047619","1.0","{1996-07-20T00:00|1996-07-20T00:00|1996-07-20T00:00}","1.0","{Kayserispor|Kayserispor|Kayserispor}","0.0","{10|10}","0.6666666666666666","{O. Kemen|Olivier Kemen|Olivier Kemen}","0.6666666666666666","{Cameroon|FRA|Cameroon}","1.0","{177.0|177.0}","1.0","{76.0|76.0}"
"eafc_8472+fm_2655+tm_3797","0.619047619047619","1.0","{1997-08-20T00:00|1997-08-20T00:00|1997-08-20T00:00}","1.0","{Go Ahead Eagles|Go Ahead Eagles|Go Ahead Eagles}","0.0","{10|10}","0.6666666666666666","{P. Rommens|Philippe Rommens|Philippe Rommens}","0.6666666666666666","{Belgium|BEL|Belgium}","0.0","{175.0|176.0}","1.0","{69.0|69.0}"
"eafc_1119+fm_14470+tm_5734","0.47619047619047616","1.0","{1987-05-09T00:00|1987-05-09T00:00|1987-05-09T00:00}","0.6666666666666666","{Strasbourg|Strasbourg|RC Strasbourg Alsace}","0.0","{9|9}","0.0","{K. Gameiro|Kevin Gameiro|Kévin Gameiro}","0.6666666666666666","{France|FRA|France}","1.0","{172.0|172.0}","0.0","{69.0|70.0}"
"eafc_1934+fm_8524","0.42857142857142855","1.0","{1991-01-16T00:00|1991-01-16T00:00}","0.0","{Hellas Verona|Verona}","1.0","{22}","0.0","{A. Berardi|Alessandro Berardi}","0.0","{Italy|ITA}","1.0","{185.0|185.0}","0.0","{78.0|80.0}"
"eafc_6599+fm_16070+tm_9464","0.6666666666666666","1.0","{2000-02-15T00:00|2000-02-15T00:00|2000-02-15T00:00}","0.0","{Huesca|Ponferrada|SD Huesca}","0.0","{9|9}","1.0","{Hugo Vallejo|Hugo Vallejo|Hugo Vallejo}","0.6666666666666666","{Spain|ESP|Spain}","1.0","{185.0|185.0}","1.0","{80.0|80.0}"
"eafc_6152+fm_16086+tm_8456","0.619047619047619","1.0","{1989-09-21T00:00|1989-09-21T00:00|1989-09-21T00:00}","0.0","{Pau|Paris FC|Pau FC}","0.0","{19|19}","0.6666666666666666","{O. Kanté|Ousmane Kanté|Ousmane Kanté}","0.6666666666666666","{Guinea|GUI|Guinea}","1.0","{182.0|182.0}","1.0","{81.0|81.0}"
"eafc_6905+fm_6221+tm_6216","0.7142857142857143","1.0","{2001-05-22T00:00|2001-05-22T00:00|2001-05-22T00:00}","0.6666666666666666","{Bologna|Bologna|Bologna FC 1909}","0.0","{9|9}","0.6666666666666666","{J. Zirkzee|Joshua Zirkzee|Joshua Zirkzee}","0.6666666666666666","{Netherlands|NED|Netherlands}","1.0","{193.0|193.0}","1.0","{89.0|89.0}"
"eafc_1239+fm_11971+tm_10141","0.5714285714285714","1.0","{1988-12-28T00:00|1988-12-28T00:00|1988-12-28T00:00}","0.6666666666666666","{Preston North End|Preston|Preston North End}","0.0","{9|9}","0.6666666666666666","{C. Evans|Ched Evans|Ched Evans}","0.6666666666666666","{Wales|WAL|Wales}","1.0","{183.0|183.0}","0.0","{76.0|77.0}"
"eafc_9889+tm_5236+tm_6732","0.619047619047619","1.0","{2002-09-09T00:00|2002-02-06T00:00|2002-09-09T00:00}","0.0","{Valencia|GD Estoril Praia|Valencia CF}","0.0","{23|87|23}","0.6666666666666666","{Fran Pérez|Fran Pereira|Fran Pérez}","0.6666666666666666","{Spain|Portugal|Spain}","1.0","{176.0}","1.0","{67.0}"
"eafc_10048+fm_4847","0.42857142857142855","1.0","{2003-01-05T00:00|2003-01-05T00:00}","0.0","{Austria Lustenau|Fortuna Sittard}","1.0","{15}","0.0","{N. Cissé|Namory Cissé}","0.0","{Austria|GER}","1.0","{188.0|188.0}","0.0","{75.0|78.0}"
"eafc_2421+fm_6062+tm_6042","0.4285714285714285","1.0","{1995-04-03T00:00|1995-04-03T00:00|1995-04-03T00:00}","0.6666666666666666","{Juventus|Juventus|Juventus FC}","0.0","{25|25}","0.6666666666666666","{A. Rabiot|Adrien Rabiot|Adrien Rabiot}","0.6666666666666666","{France|FRA|France}","0.0","{191.0|188.0}","0.0","{80.0|71.0}"
"eafc_7413+fm_16207+tm_8540","0.47619047619047616","1.0","{2000-05-22T00:00|2000-05-22T00:00|2000-05-22T00:00}","0.0","{Laval|Nîmes|Stade Lavallois}","0.0","{7|7}","0.6666666666666666","{T. Vargas|Thibaut Vargas|Thibaut Vargas}","0.6666666666666666","{France|FRA|France}","1.0","{175.0|175.0}","0.0","{73.0|68.0}"
"eafc_6743+fm_2043+tm_7636","0.4285714285714285","1.0","{2000-12-23T00:00|2000-12-23T00:00|2000-12-23T00:00}","0.6666666666666666","{Bayer 04 Leverkusen|Union SG|Bayer 04 Leverkusen}","0.0","{22|22}","0.6666666666666666","{V. Boniface|Victor Boniface|Victor Boniface}","0.6666666666666666","{Nigeria|NGA|Nigeria}","0.0","{193.0|191.0}","0.0","{85.0|88.0}"
"eafc_8752+tm_2730","0.5714285714285714","1.0","{2004-03-18T00:00|2004-03-18T00:00}","0.0","{Freiburg II|SC Freiburg II}","0.0","{9|9}","0.0","{A. Besio|Alessio Besio}","1.0","{Switzerland|Switzerland}","1.0","{185.0}","1.0","{80.0}"
"eafc_9375+fm_6946+tm_8910","0.4285714285714285","1.0","{1999-01-17T00:00|1999-01-17T00:00|1999-01-17T00:00}","0.6666666666666666","{Modena|Modena|Modena FC}","0.0","{99|99}","0.6666666666666666","{S. Oukhadda|Shady Oukhadda|Shady Oukhadda}","0.6666666666666666","{Morocco|MAR|Morocco}","0.0","{187.0|186.0}","0.0","{80.0|74.0}"
"eafc_8316+fm_6958","0.5714285714285714","1.0","{1999-07-18T00:00|1999-07-18T00:00}","1.0","{Cagliari|Cagliari}","1.0","{99}","0.0","{A. Di Pardo|Alessandro Di Pardo}","0.0","{Italy|ITA}","0.0","{182.0|186.0}","1.0","{75.0|75.0}"
"eafc_5439+fm_2767","0.42857142857142855","1.0","{1993-12-20T00:00|1993-12-20T00:00}","0.0","{Rheindorf Altach|Arminia Bielefeld}","1.0","{27}","0.0","{C. Gebauer|Christian Gebauer}","0.0","{Austria|AUT}","1.0","{187.0|187.0}","0.0","{75.0|71.0}"
"eafc_6082+fm_15016+tm_6992","0.4285714285714285","1.0","{2000-11-27T00:00|2000-11-27T00:00|2000-11-27T00:00}","0.6666666666666666","{Las Palmas|Las Palmas|UD Las Palmas}","0.0","{12|12}","0.6666666666666666","{E. Loiodice|Enzo Loiodice|Enzo Loiodice}","0.6666666666666666","{France|FRA|France}","0.0","{175.0|176.0}","0.0","{71.0|60.0}"
"eafc_2701+tm_8577","0.42857142857142855","1.0","{1992-02-13T00:00|1992-02-13T00:00}","0.0","{Dunkerque|USL Dunkerque}","0.0","{21|21}","0.0","{A. Gnanduillet|Armand Gnanduillet}","0.0","{Côte d'Ivoire|Cote d'Ivoire}","1.0","{193.0}","1.0","{93.0}"
"eafc_5292+tm_10260","0.5714285714285714","1.0","{1999-01-22T00:00|1999-01-22T00:00}","0.0","{Huddersfield Town|Stoke City}","0.0","{16|16}","0.0","{T. Edwards|Tom Edwards}","1.0","{England|England}","1.0","{175.0}","1.0","{76.0}"
"eafc_9632+fm_17087+tm_8326","0.619047619047619","1.0","{2004-04-08T00:00|2004-04-08T00:00|2004-04-08T00:00}","0.0","{Valenciennes|VAFC|Valenciennes FC}","0.0","{36|36}","0.6666666666666666","{E. Viegbe|Eyram Viegbe|Eyram Viegbe}","0.6666666666666666","{France|FRA|France}","1.0","{178.0|178.0}","1.0","{65.0|65.0}"
"eafc_11601+fm_10501","0.7142857142857143","1.0","{1999-09-11T00:00|1999-09-11T00:00}","0.0","{Cangzhou Mighty Lions|HeB FC}","1.0","{18}","1.0","{Yao Xuchen|Yao Xuchen}","0.0","{China PR|CHN}","1.0","{173.0|173.0}","1.0","{67.0|67.0}"
"eafc_5183+fm_6821+tm_8724","0.5714285714285714","1.0","{1998-07-17T00:00|1998-07-17T00:00|1998-07-17T00:00}","0.6666666666666666","{Sampdoria|Sampdoria|UC Sampdoria}","0.0","{9|9}","0.6666666666666666","{M. De Luca|Manuel De Luca|Manuel De Luca}","0.6666666666666666","{Italy|ITA|Italy}","1.0","{192.0|192.0}","0.0","{82.0|80.0}"
"eafc_3199+fm_1056+tm_1019","0.7142857142857143","1.0","{1994-05-31T00:00|1994-05-31T00:00|1994-05-31T00:00}","0.6666666666666666","{Cincinnati|Cincinnati|FC Cincinnati}","0.0","{10|10}","0.6666666666666666","{L. Acosta|Luciano Acosta|Luciano Acosta}","0.6666666666666666","{Argentina|ARG|Argentina}","1.0","{161.0|161.0}","1.0","{59.0|59.0}"
"eafc_6941+fm_2838+tm_10449","0.7142857142857143","1.0","{1997-06-28T00:00|1997-06-28T00:00|1997-06-28T00:00}","0.6666666666666666","{Fortuna Düsseldorf|Düsseldorf|Fortuna Düsseldorf}","0.0","{33|33}","0.6666666666666666","{F. Kastenmeier|Florian Kastenmeier|Florian Kastenmeier}","0.6666666666666666","{Germany|GER|Germany}","1.0","{192.0|192.0}","1.0","{85.0|85.0}"
"eafc_2517+fm_9345+tm_7353","0.619047619047619","1.0","{1996-04-11T00:00|1996-04-11T00:00|1996-04-11T00:00}","0.0","{Everton|Beşiktaş|Everton FC}","0.0","{20|20}","0.6666666666666666","{D. Alli|Dele Alli|Dele Alli}","0.6666666666666666","{England|ENG|England}","1.0","{188.0|188.0}","1.0","{80.0|80.0}"
"eafc_3958+fm_2814+tm_10600","0.5714285714285714","1.0","{1996-04-15T00:00|1996-04-15T00:00|1996-04-15T00:00}","0.6666666666666666","{Holstein Kiel|Regensburg|Holstein Kiel}","0.0","{27|27}","0.6666666666666666","{J. Mees|Joshua Mees|Joshua Mees}","0.6666666666666666","{Germany|GER|Germany}","1.0","{180.0|180.0}","0.0","{73.0|75.0}"
"eafc_6197+fm_3826+tm_1756","0.47619047619047616","1.0","{1997-01-10T00:00|1997-01-10T00:00|1997-01-10T00:00}","0.0","{1860 München|VfL Bochum|TSV 1860 Munich}","0.0","{13|13}","0.6666666666666666","{T. Bonga|Tarsis Bonga|Tarsis Bonga}","0.6666666666666666","{Germany|GER|Germany}","0.0","{197.0|196.0}","1.0","{93.0|93.0}"
"eafc_5870+fm_2786+tm_10723","0.619047619047619","1.0","{2001-01-05T00:00|2001-01-05T00:00|2001-01-05T00:00}","0.0","{Magdeburg|HSV|1.FC Magdeburg}","0.0","{20|20}","0.6666666666666666","{X. Amaechi|Xavier Amaechi|Xavier Amaechi}","0.6666666666666666","{England|ENG|England}","1.0","{179.0|179.0}","1.0","{79.0|79.0}"
"eafc_8257+fm_16053+tm_6793","0.47619047619047616","1.0","{2003-04-25T00:00|2003-05-24T00:00|2003-04-25T00:00}","0.6666666666666666","{Girona|Girona|Girona FC}","0.0","{4|4}","1.0","{Arnau Martínez|Arnau Martínez|Arnau Martínez}","0.6666666666666666","{Spain|ESP|Spain}","0.0","{181.0|182.0}","0.0","{75.0|74.0}"
"eafc_9082+tm_5051","0.8571428571428571","1.0","{2001-01-26T00:00|2001-01-26T00:00}","1.0","{Sporting CP|Sporting CP}","0.0","{21|21}","1.0","{Geny Catamo|Geny Catamo}","1.0","{Mozambique|Mozambique}","1.0","{173.0}","1.0","{69.0}"
"eafc_10188+tm_5398","0.7142857142857143","1.0","{2002-05-21T00:00|2002-05-21T00:00}","0.0","{Casa Pia|Casa Pia AC}","0.0","{16|16}","1.0","{Beni|Beni}","1.0","{Angola|Angola}","1.0","{180.0}","1.0","{78.0}"
"eafc_10994+fm_4615+tm_2697","0.4285714285714285","1.0","{2005-03-06T00:00|2005-03-06T00:00|2005-03-06T00:00}","0.6666666666666666","{Dynamo Dresden|Dynamo Dresden|SG Dynamo Dresden}","0.0","{24|24}","0.6666666666666666","{T. Menzel|Tony Menzel|Tony Menzel}","0.6666666666666666","{Germany|GER|Germany}","0.0","{179.0|177.0}","0.0","{75.0|64.0}"
"eafc_3178+fm_2097+tm_7966","0.38095238095238093","1.0","{1995-09-26T00:00|1995-09-26T00:00|1995-09-26T00:00}","0.0","{Werder Bremen|SV Werder|SV Werder Bremen}","0.0","{13|13}","0.0","{M. Veljković|Miloš Veljković|Milos Veljkovic}","0.6666666666666666","{Serbia|SRB|Serbia}","1.0","{188.0|188.0}","0.0","{83.0|85.0}"
"eafc_9294+fm_12355","0.2857142857142857","1.0","{2004-09-26T00:00|2004-09-26T00:00}","0.0","{Manchester United|Man UFC}","1.0","{44}","0.0","{D. Gore|Daniel Gore}","0.0","{England|ENG}","0.0","{173.0|170.0}","0.0","{65.0|62.0}"
"eafc_3524+fm_12114+tm_10127","0.4285714285714285","1.0","{1996-06-17T00:00|1996-06-17T00:00|1996-06-17T00:00}","0.6666666666666666","{Preston North End|Preston|Preston North End}","0.0","{4|4}","0.6666666666666666","{B. Whiteman|Ben Whiteman|Ben Whiteman}","0.6666666666666666","{England|ENG|England}","0.0","{185.0|186.0}","0.0","{68.0|66.0}"
"eafc_6958+fm_1576+tm_1233","0.5714285714285714","1.0","{1999-11-26T00:00|1999-11-26T00:00|1999-11-26T00:00}","0.6666666666666666","{Nashville SC|Nashville|Nashville SC}","0.0","{14|14}","0.6666666666666666","{J. Shaffelburg|Jacob Shaffelburg|Jacob Shaffelburg}","0.6666666666666666","{Canada|CAN|Canada}","1.0","{178.0|178.0}","0.0","{74.0|69.0}"
"eafc_6084+fm_15222+tm_5860","0.6666666666666666","1.0","{2000-10-31T00:00|2000-10-31T00:00|2000-10-31T00:00}","0.0","{Toulouse|Mirandés|FC Toulouse}","0.0","{11|11}","1.0","{César Gelabert|César Gelabert|César Gelabert}","0.6666666666666666","{Spain|ESP|Spain}","1.0","{182.0|182.0}","1.0","{73.0|73.0}"
